iid,gender,age,field,field_cd,race,imprace,imprelig,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1
76,0,34.0,Classics,6.0,2.0,5.0,7.0,2.0,7.0,2.0,teacher,2.0,1.0,7.0,6.0,8.0,8.0,8.0,5.0,1.0,7.0,7.0,4.0,8.0,8.0,8.0,7.0,7.0,7.0,10.0,10.0,30.0,20.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,8.0,6.0,4.0
77,0,22.0,Social Work,11.0,2.0,2.0,2.0,1.0,4.0,2.0,Social Worker,11.0,7.0,1.0,10.0,9.0,9.0,9.0,8.0,3.0,6.0,6.0,6.0,8.0,8.0,10.0,10.0,7.0,9.0,15.0,20.0,20.0,20.0,15.0,10.0,40.0,5.0,20.0,20.0,10.0,5.0,6.0,8.0,8.0,8.0,8.0
78,0,23.0,Social Work,11.0,3.0,1.0,4.0,2.0,7.0,3.0,Counseling Adolescents,11.0,5.0,1.0,7.0,7.0,9.0,5.0,9.0,1.0,3.0,9.0,3.0,9.0,9.0,9.0,7.0,5.0,10.0,10.0,25.0,20.0,10.0,20.0,15.0,40.0,5.0,10.0,20.0,10.0,15.0,3.0,10.0,8.0,3.0,8.0
79,0,26.0,Operations Research (SEAS),5.0,4.0,8.0,8.0,2.0,7.0,1.0,Operations Research,5.0,2.0,3.0,2.0,10.0,10.0,10.0,2.0,1.0,7.0,4.0,4.0,9.0,9.0,8.0,8.0,3.0,3.0,10.0,20.0,15.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,15.0,20.0,7.0,9.0,7.0,8.0,7.0
80,0,27.0,chemistry,10.0,4.0,3.0,1.0,1.0,5.0,4.0,industrial scientist,2.0,8.0,3.0,7.0,5.0,5.0,4.0,3.0,1.0,5.0,10.0,9.0,7.0,7.0,7.0,7.0,9.0,2.0,10.0,20.0,20.0,10.0,20.0,20.0,25.0,20.0,10.0,20.0,10.0,15.0,8.0,8.0,8.0,8.0,8.0
81,0,28.0,Journalism,6.0,2.0,6.0,9.0,5.0,5.0,2.0,Journalism,6.0,6.0,2.0,7.0,9.0,9.0,7.0,7.0,1.0,7.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,4.0,10.0,10.0,20.0,20.0,20.0,20.0,40.0,5.0,15.0,20.0,10.0,10.0,8.0,7.0,7.0,8.0,7.0
82,0,25.0,Elementary/Childhood Education (MA),9.0,6.0,2.0,7.0,1.0,3.0,2.0,teaching and then...,2.0,5.0,5.0,5.0,8.0,9.0,10.0,9.0,1.0,7.0,8.0,6.0,8.0,8.0,8.0,9.0,6.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,15.0,20.0,20.0,5.0,10.0,8.0,9.0,8.0,8.0,7.0
83,0,35.0,Economics,8.0,3.0,1.0,5.0,2.0,6.0,1.0,Economic research,7.0,5.0,1.0,3.0,5.0,7.0,8.0,3.0,1.0,6.0,8.0,3.0,7.0,8.0,7.0,8.0,4.0,7.0,10.0,32.0,20.0,12.0,11.0,15.0,15.0,25.0,10.0,15.0,10.0,25.0,5.0,9.0,5.0,9.0,5.0
84,0,32.0,microbiology,10.0,3.0,1.0,1.0,2.0,4.0,1.0,pharmaceuticals,4.0,7.0,1.0,9.0,9.0,9.0,9.0,3.0,1.0,9.0,9.0,1.0,9.0,10.0,9.0,9.0,5.0,5.0,30.0,30.0,30.0,5.0,0.0,5.0,50.0,5.0,5.0,20.0,0.0,20.0,7.0,9.0,8.0,7.0,5.0
85,0,30.0,Masters of Social Work,11.0,2.0,3.0,5.0,2.0,6.0,4.0,Social Services/ Policy,9.0,2.0,3.0,4.0,9.0,8.0,6.0,8.0,4.0,7.0,8.0,4.0,6.0,7.0,5.0,8.0,5.0,3.0,20.0,25.0,15.0,15.0,15.0,10.0,25.0,15.0,15.0,25.0,10.0,10.0,7.0,9.0,8.0,9.0,9.0
86,0,22.0,Communications,3.0,2.0,1.0,1.0,2.0,7.0,1.0,Professor of Media Studies,2.0,2.0,2.0,1.0,4.0,7.0,7.0,2.0,1.0,6.0,4.0,7.0,5.0,10.0,10.0,10.0,2.0,2.0,15.0,20.0,20.0,20.0,5.0,20.0,40.0,10.0,10.0,10.0,10.0,20.0,7.0,9.0,9.0,9.0,4.0
87,0,23.0,Social Work,11.0,2.0,8.0,10.0,1.0,3.0,2.0,Social Worker,9.0,10.0,5.0,10.0,8.0,7.0,7.0,8.0,4.0,9.0,9.0,6.0,7.0,10.0,9.0,10.0,7.0,9.0,15.0,15.0,20.0,15.0,15.0,20.0,15.0,15.0,20.0,15.0,15.0,20.0,9.0,9.0,9.0,9.0,9.0
88,0,23.0,Social Work,11.0,2.0,8.0,7.0,1.0,4.0,4.0,Clinical Social Worker,9.0,8.0,7.0,10.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0,3.0,15.0,15.0,20.0,15.0,20.0,15.0,15.0,15.0,20.0,15.0,20.0,15.0,9.0,9.0,9.0,9.0,9.0
89,0,27.0,Marketing,8.0,2.0,3.0,2.0,1.0,7.0,3.0,Academic,2.0,2.0,2.0,2.0,10.0,8.0,8.0,7.0,8.0,9.0,8.0,1.0,9.0,8.0,8.0,9.0,4.0,2.0,25.0,15.0,20.0,20.0,20.0,0.0,50.0,10.0,10.0,20.0,5.0,5.0,8.0,9.0,9.0,8.0,10.0
90,0,23.0,Chemistry,10.0,4.0,4.0,1.0,2.0,7.0,7.0,I don't know,10.0,8.0,9.0,6.0,5.0,8.0,9.0,6.0,3.0,1.0,10.0,6.0,7.0,8.0,7.0,6.0,4.0,1.0,15.0,21.0,18.0,18.0,10.0,18.0,10.0,25.0,15.0,15.0,10.0,25.0,5.0,8.0,7.0,5.0,5.0
91,0,25.0,Law,1.0,6.0,6.0,8.0,1.0,3.0,2.0,Lawyer,1.0,4.0,2.0,5.0,7.0,7.0,5.0,7.0,3.0,5.0,7.0,7.0,10.0,8.0,8.0,7.0,6.0,2.0,15.0,3.0,50.0,20.0,2.0,10.0,65.0,0.0,8.0,20.0,2.0,5.0,6.0,7.0,9.0,7.0,8.0
92,0,29.0,International Educational Development,9.0,2.0,1.0,2.0,5.0,6.0,1.0,Microfinancing Program Manager,7.0,7.0,2.0,8.0,10.0,9.0,9.0,9.0,2.0,9.0,10.0,4.0,10.0,10.0,8.0,10.0,6.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0,30.0,10.0,10.0,30.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0
93,0,29.0,Education Administration,5.0,2.0,2.0,2.0,1.0,5.0,1.0,Education Administration,2.0,3.0,2.0,6.0,10.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,5.0,7.0,6.0,14.0,20.0,18.0,24.0,18.0,6.0,30.0,15.0,15.0,20.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0
94,1,28.0,Business (MBA),8.0,4.0,6.0,8.0,2.0,6.0,3.0,Marketing,7.0,7.0,2.0,8.0,8.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,7.0,9.0,6.0,7.0,4.0,5.0,20.0,20.0,20.0,10.0,10.0,20.0,50.0,0.0,30.0,20.0,0.0,0.0,6.0,9.0,9.0,9.0,7.0
95,1,26.0,Business,8.0,2.0,7.0,5.0,1.0,5.0,2.0,Business - Investment Management,7.0,10.0,10.0,6.0,6.0,4.0,3.0,1.0,6.0,4.0,7.0,9.0,5.0,10.0,8.0,10.0,3.0,3.0,18.0,18.0,18.0,19.0,13.0,14.0,16.0,15.0,19.0,23.0,14.0,13.0,7.0,9.0,10.0,8.0,7.0
96,1,26.0,Computer Science,5.0,3.0,3.0,6.0,1.0,7.0,1.0,Academic or Research staff,2.0,5.0,8.0,7.0,10.0,10.0,8.0,10.0,6.0,8.0,8.0,3.0,8.0,9.0,8.0,7.0,7.0,3.0,10.0,20.0,20.0,22.0,6.0,22.0,20.0,25.0,15.0,20.0,10.0,10.0,7.0,9.0,9.0,9.0,9.0
97,1,29.0,Climate-Earth and Environ. Science,10.0,2.0,4.0,1.0,2.0,5.0,2.0,Professor,2.0,6.0,8.0,8.0,3.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,2.0,7.0,3.0,7.0,3.0,5.0,50.0,7.0,20.0,23.0,0.0,0.0,30.0,10.0,12.0,8.0,30.0,10.0,7.0,5.0,6.0,7.0,6.0
98,1,39.0,Social Work,11.0,2.0,1.0,1.0,4.0,4.0,2.0,University Professor,2.0,8.0,8.0,8.0,7.0,3.0,3.0,5.0,1.0,7.0,7.0,3.0,7.0,8.0,6.0,8.0,2.0,7.0,40.0,20.0,15.0,20.0,0.0,5.0,30.0,14.0,14.0,14.0,14.0,14.0,8.0,8.0,8.0,8.0,8.0
99,1,28.0,Law,1.0,2.0,1.0,1.0,3.0,3.0,2.0,Lawyer,1.0,5.0,5.0,5.0,8.0,10.0,10.0,5.0,5.0,9.0,6.0,6.0,10.0,10.0,10.0,10.0,8.0,5.0,30.0,30.0,20.0,10.0,10.0,0.0,20.0,20.0,20.0,10.0,25.0,5.0,10.0,10.0,10.0,10.0,8.0
100,1,30.0,Business,8.0,6.0,8.0,9.0,1.0,3.0,2.0,Professor,2.0,5.0,4.0,6.0,7.0,6.0,6.0,2.0,2.0,4.0,6.0,5.0,7.0,7.0,3.0,7.0,6.0,2.0,20.0,25.0,25.0,15.0,5.0,10.0,20.0,15.0,20.0,15.0,15.0,15.0,7.0,8.0,9.0,8.0,6.0
101,1,22.0,financial math,8.0,4.0,3.0,2.0,3.0,4.0,3.0,Finance,7.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,7.0,8.0,8.0,4.0,40.0,8.0,10.0,12.0,10.0,20.0,20.0,10.0,10.0,30.0,10.0,20.0,8.0,8.0,9.0,8.0,9.0
102,1,32.0,Chemistry,10.0,2.0,2.0,6.0,1.0,4.0,4.0,Research Scientist,2.0,9.0,9.0,9.0,9.0,4.0,4.0,7.0,2.0,5.0,5.0,4.0,4.0,9.0,3.0,5.0,5.0,2.0,30.0,10.0,30.0,20.0,10.0,0.0,10.0,30.0,20.0,30.0,10.0,0.0,8.0,5.0,10.0,7.0,9.0
103,1,26.0,Business- MBA,8.0,2.0,8.0,9.0,2.0,4.0,1.0,business,7.0,8.0,7.0,8.0,8.0,6.0,4.0,8.0,5.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,6.0,3.0,40.0,5.0,20.0,10.0,10.0,15.0,40.0,5.0,10.0,20.0,15.0,10.0,8.0,8.0,9.0,8.0,9.0
104,1,27.0,chemistry,10.0,2.0,6.0,8.0,2.0,5.0,3.0,research in industry or academia,2.0,8.0,3.0,8.0,9.0,8.0,8.0,9.0,5.0,8.0,7.0,3.0,8.0,7.0,6.0,8.0,3.0,7.0,20.0,15.0,25.0,15.0,20.0,5.0,15.0,20.0,20.0,20.0,15.0,10.0,9.0,8.0,9.0,7.0,9.0
105,1,25.0,law,1.0,1.0,1.0,1.0,2.0,7.0,1.0,Law,1.0,9.0,9.0,6.0,8.0,5.0,5.0,3.0,4.0,7.0,8.0,6.0,6.0,7.0,4.0,7.0,5.0,5.0,30.0,15.0,20.0,20.0,0.0,5.0,25.0,15.0,20.0,15.0,10.0,15.0,8.0,7.0,8.0,9.0,6.0
106,1,22.0,Law,1.0,3.0,1.0,3.0,5.0,7.0,3.0,Law,1.0,2.0,4.0,2.0,9.0,6.0,5.0,4.0,9.0,2.0,9.0,8.0,7.0,9.0,2.0,8.0,5.0,3.0,10.0,20.0,35.0,10.0,5.0,20.0,20.0,15.0,20.0,20.0,5.0,20.0,4.0,7.0,9.0,3.0,2.0
107,1,21.0,Religion,7.0,2.0,1.0,1.0,1.0,4.0,1.0,Teacher/Professor,2.0,7.0,2.0,4.0,7.0,6.0,7.0,8.0,1.0,7.0,7.0,1.0,5.0,7.0,9.0,9.0,1.0,10.0,19.0,24.0,21.0,23.0,5.0,8.0,22.0,20.0,18.0,23.0,10.0,7.0,7.0,9.0,9.0,9.0,6.0
108,1,24.0,Electrical Engineering,5.0,2.0,1.0,1.0,1.0,6.0,3.0,Engineering,5.0,7.0,3.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,7.0,3.0,7.0,7.0,4.0,6.0,2.0,2.0,10.0,20.0,35.0,20.0,0.0,15.0,25.0,25.0,15.0,15.0,10.0,10.0,4.0,8.0,7.0,3.0,2.0
109,1,25.0,Film,14.0,4.0,1.0,1.0,1.0,4.0,1.0,film,6.0,2.0,1.0,2.0,10.0,10.0,10.0,1.0,2.0,2.0,10.0,5.0,7.0,10.0,10.0,10.0,5.0,3.0,15.0,10.0,30.0,10.0,5.0,30.0,20.0,15.0,15.0,15.0,20.0,15.0,6.0,9.0,9.0,8.0,8.0
110,1,28.0,Film,14.0,2.0,4.0,6.0,2.0,6.0,1.0,Writer,6.0,4.0,3.0,8.0,7.0,7.0,9.0,8.0,2.0,3.0,7.0,5.0,7.0,9.0,7.0,8.0,3.0,6.0,20.0,20.0,15.0,15.0,5.0,25.0,20.0,20.0,15.0,15.0,5.0,25.0,7.0,9.0,8.0,8.0,7.0
111,1,27.0,Business,8.0,4.0,7.0,1.0,5.0,5.0,1.0,consulting,7.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,1.0,5.0,9.0,5.0,8.0,9.0,8.0,5.0,3.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,25.0,20.0,15.0,15.0,10.0,15.0,5.0,8.0,8.0,5.0,5.0
112,0,20.0,Sociology,3.0,6.0,1.0,1.0,1.0,3.0,1.0,Social work,11.0,8.0,3.0,8.0,5.0,7.0,8.0,8.0,8.0,9.0,9.0,3.0,8.0,8.0,9.0,10.0,4.0,6.0,15.0,15.0,20.0,25.0,10.0,15.0,45.0,15.0,10.0,20.0,0.0,5.0,9.0,10.0,9.0,9.0,9.0
113,0,21.0,Economics,8.0,2.0,3.0,8.0,1.0,4.0,1.0,What a question!,10.0,5.0,3.0,7.0,10.0,9.0,8.0,7.0,2.0,6.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,7.0,15.0,15.0,25.0,25.0,15.0,5.0,30.0,5.0,15.0,25.0,10.0,20.0,8.0,10.0,8.0,10.0,9.0
114,0,20.0,"Economics, English",8.0,1.0,2.0,4.0,2.0,7.0,4.0,,,6.0,8.0,3.0,4.0,4.0,3.0,5.0,2.0,6.0,8.0,7.0,6.0,7.0,6.0,9.0,2.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,20.0,20.0,10.0,10.0,7.0,9.0,6.0,8.0,7.0
115,0,21.0,psychology,3.0,2.0,10.0,7.0,1.0,5.0,1.0,psychologist,3.0,2.0,2.0,8.0,7.0,3.0,3.0,1.0,1.0,8.0,10.0,2.0,2.0,6.0,4.0,7.0,8.0,1.0,20.0,10.0,30.0,20.0,15.0,5.0,40.0,10.0,20.0,20.0,0.0,10.0,8.0,7.0,9.0,8.0,8.0
116,0,21.0,political science,13.0,2.0,4.0,1.0,1.0,1.0,1.0,if only i knew,10.0,5.0,4.0,3.0,10.0,10.0,10.0,6.0,4.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,15.0,15.0,25.0,25.0,20.0,0.0,30.0,5.0,10.0,30.0,5.0,20.0,8.0,9.0,9.0,8.0,9.0
117,0,21.0,"Economics, Sociology",8.0,2.0,8.0,10.0,1.0,3.0,1.0,"Marketing, Advertising",7.0,6.0,8.0,6.0,9.0,8.0,6.0,3.0,5.0,8.0,8.0,5.0,6.0,5.0,6.0,5.0,9.0,3.0,20.0,10.0,20.0,20.0,20.0,10.0,20.0,10.0,15.0,20.0,15.0,20.0,8.0,7.0,8.0,8.0,8.0
119,0,19.0,Polish,16.0,3.0,5.0,2.0,1.0,3.0,1.0,lawyer/gov.position,1.0,8.0,5.0,8.0,9.0,9.0,9.0,5.0,8.0,10.0,9.0,5.0,10.0,9.0,10.0,10.0,7.0,8.0,50.0,15.0,10.0,10.0,10.0,5.0,70.0,5.0,5.0,10.0,5.0,5.0,8.0,10.0,10.0,10.0,10.0
120,0,20.0,English,6.0,3.0,1.0,4.0,5.0,4.0,3.0,Writer,6.0,5.0,4.0,4.0,8.0,7.0,5.0,3.0,1.0,5.0,10.0,6.0,10.0,9.0,6.0,8.0,3.0,5.0,10.0,10.0,35.0,35.0,8.0,2.0,50.0,1.0,20.0,20.0,2.0,7.0,6.0,8.0,8.0,8.0,9.0
121,0,21.0,psychology and english,3.0,2.0,8.0,1.0,5.0,7.0,1.0,"no idea, maybe a professor",2.0,2.0,2.0,6.0,10.0,6.0,10.0,6.0,4.0,7.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,4.0,35.0,15.0,5.0,30.0,15.0,0.0,60.0,5.0,0.0,20.0,0.0,15.0,2.0,9.0,7.0,9.0,9.0
122,1,22.0,Law,1.0,6.0,1.0,1.0,1.0,3.0,1.0,Lawyer,1.0,7.0,9.0,7.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,5.0,4.0,40.0,15.0,10.0,20.0,5.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,7.0,10.0,8.0,8.0,8.0
123,1,18.0,Biomedical Engineering,5.0,4.0,3.0,5.0,2.0,5.0,1.0,Cardiologist,4.0,9.0,9.0,8.0,8.0,3.0,2.0,5.0,5.0,6.0,2.0,7.0,2.0,7.0,7.0,7.0,7.0,5.0,50.0,10.0,20.0,5.0,5.0,10.0,20.0,50.0,10.0,5.0,5.0,10.0,8.0,7.0,7.0,7.0,8.0
124,1,22.0,Economics and Political Science,8.0,4.0,1.0,1.0,2.0,4.0,1.0,Law or finance,1.0,5.0,5.0,8.0,10.0,8.0,8.0,6.0,5.0,8.0,8.0,6.0,9.0,9.0,9.0,8.0,8.0,7.0,40.0,10.0,10.0,10.0,10.0,20.0,20.0,30.0,10.0,10.0,20.0,10.0,8.0,8.0,10.0,10.0,10.0
125,1,21.0,Art History/medicine,4.0,2.0,3.0,1.0,1.0,3.0,1.0,Pediatrics,4.0,3.0,1.0,9.0,10.0,9.0,10.0,1.0,1.0,10.0,9.0,2.0,9.0,9.0,9.0,9.0,10.0,7.0,20.0,15.0,20.0,15.0,12.0,18.0,25.0,10.0,15.0,15.0,15.0,20.0,9.0,6.0,9.0,10.0,10.0
126,1,22.0,philosophy,7.0,2.0,7.0,5.0,4.0,6.0,3.0,medicine,4.0,10.0,8.0,7.0,8.0,8.0,7.0,5.0,2.0,7.0,10.0,5.0,8.0,8.0,9.0,10.0,6.0,7.0,25.0,40.0,15.0,10.0,5.0,5.0,20.0,20.0,15.0,20.0,15.0,10.0,9.0,10.0,9.0,9.0,9.0
127,1,22.0,Mechanical Engineering,5.0,2.0,1.0,1.0,6.0,5.0,1.0,Porn Star,6.0,10.0,8.0,8.0,8.0,5.0,3.0,5.0,5.0,6.0,1.0,7.0,1.0,5.0,8.0,7.0,5.0,10.0,25.0,25.0,25.0,15.0,5.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0
128,1,21.0,Engineering,5.0,2.0,3.0,1.0,1.0,3.0,2.0,Mechanical Engineering,5.0,8.0,7.0,7.0,6.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,4.0,8.0,10.0,10.0,2.0,2.0,40.0,15.0,10.0,20.0,10.0,5.0,25.0,15.0,20.0,20.0,10.0,10.0,8.0,7.0,8.0,7.0,7.0
129,1,,Economics,8.0,2.0,1.0,1.0,3.0,3.0,3.0,entrepeneur,7.0,7.0,4.0,7.0,9.0,4.0,5.0,9.0,2.0,6.0,9.0,4.0,4.0,7.0,6.0,6.0,4.0,6.0,40.0,20.0,20.0,20.0,,,40.0,21.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,8.0
130,1,20.0,Engineering,5.0,4.0,4.0,1.0,1.0,6.0,2.0,don't know,10.0,7.0,4.0,9.0,8.0,3.0,2.0,7.0,5.0,7.0,6.0,2.0,1.0,2.0,2.0,9.0,6.0,2.0,80.0,10.0,10.0,,,,60.0,20.0,10.0,10.0,,,5.0,6.0,6.0,6.0,6.0
131,1,19.0,Computer Science,5.0,4.0,4.0,1.0,2.0,7.0,3.0,Not Sure,10.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,6.0,4.0,8.0,7.0,6.0,8.0,7.0,6.0,5.0,3.0,25.0,10.0,20.0,20.0,10.0,15.0,30.0,10.0,20.0,20.0,10.0,10.0,4.0,6.0,6.0,4.0,6.0
132,0,27.0,Finance,8.0,2.0,10.0,1.0,1.0,7.0,2.0,Asset Management,7.0,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,16.67,16.67,16.67,16.67,16.67,16.67,22.73,15.91,13.64,15.91,13.64,18.18,8.0,10.0,9.0,10.0,10.0
133,0,24.0,electrical engineering,5.0,4.0,8.0,6.0,1.0,6.0,5.0,a research position,2.0,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,12.77,19.15,17.02,17.02,14.89,19.15,24.32,16.22,13.51,16.22,10.81,18.92,6.0,8.0,8.0,7.0,7.0
134,0,23.0,marine geophysics,10.0,2.0,8.0,10.0,1.0,5.0,3.0,professor,2.0,7.0,4.0,4.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,5.0,9.0,5.0,7.0,8.0,8.0,8.0,6.67,20.0,20.0,17.78,20.0,15.56,20.51,15.38,12.82,20.51,12.82,17.95,7.0,8.0,8.0,8.0,8.0
135,0,26.0,theory,3.0,2.0,9.0,6.0,1.0,7.0,2.0,teaching,2.0,3.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,7.0,7.0,1.0,8.0,7.0,10.0,10.0,2.0,9.0,18.18,22.73,18.18,13.64,13.64,13.64,18.75,16.67,14.58,18.75,18.75,12.5,9.0,10.0,9.0,7.0,6.0
137,1,26.0,Business,8.0,4.0,1.0,1.0,1.0,4.0,1.0,Real Estate,8.0,6.0,1.0,8.0,8.0,4.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,9.0,9.0,10.0,8.0,3.0,17.39,17.39,15.22,17.39,13.04,19.57,14.89,17.02,17.02,17.02,14.89,19.15,7.0,9.0,9.0,8.0,8.0
138,1,32.0,MBA,8.0,2.0,9.0,6.0,1.0,3.0,2.0,investment banking,7.0,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,20.0,20.0,20.0,20.0,6.67,13.33,18.37,18.37,16.33,16.33,16.33,14.29,8.0,8.0,8.0,8.0,8.0
139,1,37.0,engineering,5.0,4.0,6.0,1.0,1.0,6.0,3.0,engineering professional,2.0,7.0,5.0,8.0,10.0,9.0,9.0,6.0,5.0,6.0,10.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,18.75,16.67,18.75,20.83,12.5,12.5,19.61,19.61,15.69,19.61,11.76,13.73,8.0,8.0,9.0,9.0,6.0
140,1,29.0,MBA,8.0,2.0,5.0,5.0,1.0,5.0,2.0,Investment Banking,7.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,18.6,16.28,18.6,18.6,11.63,16.28,15.56,17.78,17.78,15.56,15.56,17.78,7.0,7.0,8.0,9.0,8.0
141,1,28.0,MBA,8.0,3.0,4.0,4.0,1.0,6.0,2.0,MBA,7.0,10.0,10.0,3.0,9.0,5.0,5.0,7.0,5.0,7.0,3.0,8.0,9.0,10.0,8.0,9.0,6.0,6.0,20.83,20.83,16.67,16.67,6.25,18.75,19.05,7.14,19.05,23.81,21.43,9.52,7.0,9.0,8.0,8.0,6.0
142,0,24.0,political science,13.0,2.0,1.0,4.0,1.0,5.0,2.0,professor,2.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,14.0,7.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,6.0,14.29,14.29,21.43,21.43,19.05,9.52,19.57,13.04,17.39,19.57,15.22,15.22,9.0,9.0,10.0,9.0,7.0
143,0,33.0,Law,1.0,2.0,6.0,2.0,2.0,7.0,4.0,law,1.0,4.0,5.0,6.0,8.0,9.0,9.0,6.0,4.0,8.0,9.0,5.0,7.0,7.0,7.0,7.0,6.0,4.0,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7.0,10.0,8.0,7.0,7.0
144,0,23.0,Nutrition/Genetics,10.0,2.0,5.0,2.0,1.0,5.0,2.0,research,2.0,10.0,7.0,9.0,6.0,6.0,6.0,4.0,3.0,7.0,7.0,5.0,4.0,7.0,9.0,8.0,7.0,4.0,16.0,16.0,16.0,18.0,18.0,16.0,20.0,15.56,15.56,17.78,15.56,15.56,7.0,8.0,9.0,8.0,9.0
145,0,24.0,Neuroscience,10.0,2.0,9.0,7.0,2.0,7.0,1.0,Neuroscientist/Professor,2.0,2.0,1.0,2.0,9.0,9.0,5.0,2.0,2.0,1.0,8.0,10.0,10.0,10.0,5.0,8.0,9.0,2.0,11.36,18.18,22.73,18.18,11.36,18.18,22.22,13.33,17.78,20.0,8.89,17.78,5.0,5.0,9.0,7.0,7.0
146,0,36.0,Comparative Literature,6.0,2.0,1.0,7.0,4.0,7.0,1.0,Education,2.0,5.0,2.0,5.0,5.0,8.0,8.0,3.0,1.0,3.0,10.0,8.0,8.0,8.0,5.0,8.0,8.0,3.0,18.18,18.18,18.18,18.18,13.64,13.64,20.0,13.33,15.56,20.0,13.33,17.78,8.0,8.0,8.0,8.0,8.0
147,0,26.0,Business,8.0,4.0,3.0,3.0,5.0,5.0,1.0,Business,7.0,8.0,7.0,8.0,9.0,9.0,9.0,5.0,2.0,8.0,10.0,8.0,9.0,8.0,6.0,6.0,7.0,10.0,18.0,18.0,20.0,18.0,16.0,10.0,25.0,12.5,12.5,25.0,12.5,12.5,8.0,7.0,9.0,8.0,7.0
148,0,27.0,Business,8.0,4.0,7.0,4.0,5.0,4.0,1.0,Business,7.0,7.0,4.0,6.0,9.0,9.0,9.0,5.0,2.0,1.0,10.0,10.0,9.0,9.0,5.0,7.0,9.0,7.0,15.09,16.98,16.98,18.87,18.87,13.21,23.81,16.67,14.29,23.81,9.52,11.9,8.0,9.0,9.0,9.0,8.0
149,0,28.0,International Relations,13.0,2.0,3.0,3.0,1.0,5.0,2.0,Professor and Government Official,2.0,8.0,4.0,5.0,8.0,8.0,8.0,8.0,3.0,6.0,6.0,6.0,5.0,8.0,7.0,10.0,9.0,8.0,8.51,19.15,19.15,19.15,19.15,14.89,28.57,8.57,20.0,20.0,14.29,8.57,8.0,8.0,8.0,8.0,8.0
150,0,31.0,History of Religion,7.0,2.0,3.0,3.0,4.0,5.0,2.0,professor,2.0,5.0,1.0,3.0,5.0,3.0,3.0,9.0,1.0,5.0,7.0,1.0,1.0,7.0,5.0,4.0,2.0,10.0,12.0,20.0,20.0,20.0,14.0,14.0,25.0,15.0,15.0,15.0,15.0,15.0,7.0,9.0,9.0,8.0,8.0
